Description,Model,ForecastMonth,ForecastRevenue
REGENCY CAKESTAND 3 TIER,Naive,2012-01-01,4532.28
REGENCY CAKESTAND 3 TIER,Naive,2012-02-01,4532.28
REGENCY CAKESTAND 3 TIER,Naive,2012-03-01,4532.28
REGENCY CAKESTAND 3 TIER,ExponentialSmoothing,2012-01-01,6487.889127552785
REGENCY CAKESTAND 3 TIER,ExponentialSmoothing,2012-02-01,5878.271629306079
REGENCY CAKESTAND 3 TIER,ExponentialSmoothing,2012-03-01,5268.654131059374
REGENCY CAKESTAND 3 TIER,ARIMA,2012-01-01,7222.2110885105385
REGENCY CAKESTAND 3 TIER,ARIMA,2012-02-01,8798.01835684851
REGENCY CAKESTAND 3 TIER,ARIMA,2012-03-01,9721.152989387278
WHITE HANGING HEART T-LIGHT HOLDER,Naive,2012-01-01,1995.79
WHITE HANGING HEART T-LIGHT HOLDER,Naive,2012-02-01,1995.79
WHITE HANGING HEART T-LIGHT HOLDER,Naive,2012-03-01,1995.79
WHITE HANGING HEART T-LIGHT HOLDER,ExponentialSmoothing,2012-01-01,5252.268122156294
WHITE HANGING HEART T-LIGHT HOLDER,ExponentialSmoothing,2012-02-01,4767.19680128036
WHITE HANGING HEART T-LIGHT HOLDER,ExponentialSmoothing,2012-03-01,4282.125480404425
WHITE HANGING HEART T-LIGHT HOLDER,ARIMA,2012-01-01,10158.178964535058
WHITE HANGING HEART T-LIGHT HOLDER,ARIMA,2012-02-01,5585.646631843286
WHITE HANGING HEART T-LIGHT HOLDER,ARIMA,2012-03-01,8147.157976665925
"PAPER CRAFT , LITTLE BIRDIE",Naive,2012-01-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",Naive,2012-02-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",Naive,2012-03-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ExponentialSmoothing,2012-01-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ExponentialSmoothing,2012-02-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ExponentialSmoothing,2012-03-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ARIMA,2012-01-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ARIMA,2012-02-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ARIMA,2012-03-01,168469.6
Manual,Naive,2012-01-01,438.1
Manual,Naive,2012-02-01,438.1
Manual,Naive,2012-03-01,438.1
Manual,ExponentialSmoothing,2012-01-01,5445.227115621185
Manual,ExponentialSmoothing,2012-02-01,5345.912472669907
Manual,ExponentialSmoothing,2012-03-01,5246.597829718631
Manual,ARIMA,2012-01-01,4282.575389741414
Manual,ARIMA,2012-02-01,4692.85904324302
Manual,ARIMA,2012-03-01,4736.644647068136
JUMBO BAG RED RETROSPOT,Naive,2012-01-01,2020.3999999999999
JUMBO BAG RED RETROSPOT,Naive,2012-02-01,2020.3999999999999
JUMBO BAG RED RETROSPOT,Naive,2012-03-01,2020.3999999999999
JUMBO BAG RED RETROSPOT,ExponentialSmoothing,2012-01-01,7260.902909591982
JUMBO BAG RED RETROSPOT,ExponentialSmoothing,2012-02-01,7324.495143339726
JUMBO BAG RED RETROSPOT,ExponentialSmoothing,2012-03-01,7388.087377087471
JUMBO BAG RED RETROSPOT,ARIMA,2012-01-01,8191.149659156685
JUMBO BAG RED RETROSPOT,ARIMA,2012-02-01,6958.560565136648
JUMBO BAG RED RETROSPOT,ARIMA,2012-03-01,7204.766611178834
POSTAGE,Naive,2012-01-01,2778.0
POSTAGE,Naive,2012-02-01,2778.0
POSTAGE,Naive,2012-03-01,2778.0
POSTAGE,ExponentialSmoothing,2012-01-01,7657.085027776727
POSTAGE,ExponentialSmoothing,2012-02-01,7868.90146606751
POSTAGE,ExponentialSmoothing,2012-03-01,8080.717904358293
POSTAGE,ARIMA,2012-01-01,6709.563558022721
POSTAGE,ARIMA,2012-02-01,6311.602801797864
POSTAGE,ARIMA,2012-03-01,6351.885188476285
ASSORTED COLOUR BIRD ORNAMENT,Naive,2012-01-01,1999.46
ASSORTED COLOUR BIRD ORNAMENT,Naive,2012-02-01,1999.46
ASSORTED COLOUR BIRD ORNAMENT,Naive,2012-03-01,1999.46
ASSORTED COLOUR BIRD ORNAMENT,ExponentialSmoothing,2012-01-01,5129.59037775557
ASSORTED COLOUR BIRD ORNAMENT,ExponentialSmoothing,2012-02-01,5247.477239462894
ASSORTED COLOUR BIRD ORNAMENT,ExponentialSmoothing,2012-03-01,5365.364101170218
ASSORTED COLOUR BIRD ORNAMENT,ARIMA,2012-01-01,3907.9199490222777
ASSORTED COLOUR BIRD ORNAMENT,ARIMA,2012-02-01,4466.269503288713
ASSORTED COLOUR BIRD ORNAMENT,ARIMA,2012-03-01,4629.623324210783
PARTY BUNTING,Naive,2012-01-01,465.3
PARTY BUNTING,Naive,2012-02-01,465.3
PARTY BUNTING,Naive,2012-03-01,465.3
PARTY BUNTING,ExponentialSmoothing,2012-01-01,838.166361300528
PARTY BUNTING,ExponentialSmoothing,2012-02-01,961.2578134802512
PARTY BUNTING,ExponentialSmoothing,2012-03-01,1084.3492656599744
PARTY BUNTING,ARIMA,2012-01-01,2572.2116856558723
PARTY BUNTING,ARIMA,2012-02-01,354.9868897644833
PARTY BUNTING,ARIMA,2012-03-01,2688.300539778844
MEDIUM CERAMIC TOP STORAGE JAR,Naive,2012-01-01,203.51
MEDIUM CERAMIC TOP STORAGE JAR,Naive,2012-02-01,203.51
MEDIUM CERAMIC TOP STORAGE JAR,Naive,2012-03-01,203.51
MEDIUM CERAMIC TOP STORAGE JAR,ExponentialSmoothing,2012-01-01,-22904.802525869978
MEDIUM CERAMIC TOP STORAGE JAR,ExponentialSmoothing,2012-02-01,-27055.19622108305
MEDIUM CERAMIC TOP STORAGE JAR,ExponentialSmoothing,2012-03-01,-31205.58991629612
MEDIUM CERAMIC TOP STORAGE JAR,ARIMA,2012-01-01,517.1340107188958
MEDIUM CERAMIC TOP STORAGE JAR,ARIMA,2012-02-01,322.2038128704095
MEDIUM CERAMIC TOP STORAGE JAR,ARIMA,2012-03-01,443.36093329033736
PAPER CHAIN KIT 50'S CHRISTMAS,Naive,2012-01-01,3853.5200000000004
PAPER CHAIN KIT 50'S CHRISTMAS,Naive,2012-02-01,3853.5200000000004
PAPER CHAIN KIT 50'S CHRISTMAS,Naive,2012-03-01,3853.5200000000004
PAPER CHAIN KIT 50'S CHRISTMAS,ExponentialSmoothing,2012-01-01,6460.3072356813855
PAPER CHAIN KIT 50'S CHRISTMAS,ExponentialSmoothing,2012-02-01,6563.5395288380905
PAPER CHAIN KIT 50'S CHRISTMAS,ExponentialSmoothing,2012-03-01,6666.7718219947965
PAPER CHAIN KIT 50'S CHRISTMAS,ARIMA,2012-01-01,3601.450993590377
PAPER CHAIN KIT 50'S CHRISTMAS,ARIMA,2012-02-01,3462.6639706312953
PAPER CHAIN KIT 50'S CHRISTMAS,ARIMA,2012-03-01,3386.2490316580233
CHILLI LIGHTS,Naive,2012-01-01,2116.42
CHILLI LIGHTS,Naive,2012-02-01,2116.42
CHILLI LIGHTS,Naive,2012-03-01,2116.42
CHILLI LIGHTS,ExponentialSmoothing,2012-01-01,4674.491326671212
CHILLI LIGHTS,ExponentialSmoothing,2012-02-01,4830.8855253541
CHILLI LIGHTS,ExponentialSmoothing,2012-03-01,4987.279724036987
CHILLI LIGHTS,ARIMA,2012-01-01,8829.48352665655
CHILLI LIGHTS,ARIMA,2012-02-01,277.0393715706632
CHILLI LIGHTS,ARIMA,2012-03-01,11172.854782138118
JUMBO BAG STRAWBERRY,Naive,2012-01-01,565.1800000000001
JUMBO BAG STRAWBERRY,Naive,2012-02-01,565.1800000000001
JUMBO BAG STRAWBERRY,Naive,2012-03-01,565.1800000000001
JUMBO BAG STRAWBERRY,ExponentialSmoothing,2012-01-01,1878.008086635687
JUMBO BAG STRAWBERRY,ExponentialSmoothing,2012-02-01,1784.1341402417452
JUMBO BAG STRAWBERRY,ExponentialSmoothing,2012-03-01,1690.2601938478033
JUMBO BAG STRAWBERRY,ARIMA,2012-01-01,1915.9108379195704
JUMBO BAG STRAWBERRY,ARIMA,2012-02-01,1414.6761714174434
JUMBO BAG STRAWBERRY,ARIMA,2012-03-01,1600.676360241487
BLACK RECORD COVER FRAME,Naive,2012-01-01,4988.2699999999995
BLACK RECORD COVER FRAME,Naive,2012-02-01,4988.2699999999995
BLACK RECORD COVER FRAME,Naive,2012-03-01,4988.2699999999995
BLACK RECORD COVER FRAME,ExponentialSmoothing,2012-01-01,3935.9228620225535
BLACK RECORD COVER FRAME,ExponentialSmoothing,2012-02-01,4049.5956937932187
BLACK RECORD COVER FRAME,ExponentialSmoothing,2012-03-01,4163.268525563884
BLACK RECORD COVER FRAME,ARIMA,2012-01-01,3766.1370138539996
BLACK RECORD COVER FRAME,ARIMA,2012-02-01,3440.1422186647274
BLACK RECORD COVER FRAME,ARIMA,2012-03-01,3353.185555441336
WOOD BLACK BOARD ANT WHITE FINISH,Naive,2012-01-01,2242.8
WOOD BLACK BOARD ANT WHITE FINISH,Naive,2012-02-01,2242.8
WOOD BLACK BOARD ANT WHITE FINISH,Naive,2012-03-01,2242.8
WOOD BLACK BOARD ANT WHITE FINISH,ExponentialSmoothing,2012-01-01,2141.104189674002
WOOD BLACK BOARD ANT WHITE FINISH,ExponentialSmoothing,2012-02-01,2075.1837549045304
WOOD BLACK BOARD ANT WHITE FINISH,ExponentialSmoothing,2012-03-01,2009.2633201350586
WOOD BLACK BOARD ANT WHITE FINISH,ARIMA,2012-01-01,2521.89284597533
WOOD BLACK BOARD ANT WHITE FINISH,ARIMA,2012-02-01,2580.8254677013924
WOOD BLACK BOARD ANT WHITE FINISH,ARIMA,2012-03-01,2593.2695484207316
VINTAGE UNION JACK BUNTING,Naive,2012-01-01,280.13
VINTAGE UNION JACK BUNTING,Naive,2012-02-01,280.13
VINTAGE UNION JACK BUNTING,Naive,2012-03-01,280.13
VINTAGE UNION JACK BUNTING,ExponentialSmoothing,2012-01-01,370.5156588224483
VINTAGE UNION JACK BUNTING,ExponentialSmoothing,2012-02-01,183.92274438833726
VINTAGE UNION JACK BUNTING,ExponentialSmoothing,2012-03-01,-2.6701700457738298
VINTAGE UNION JACK BUNTING,ARIMA,2012-01-01,793.7136346518336
VINTAGE UNION JACK BUNTING,ARIMA,2012-02-01,689.2531975368917
VINTAGE UNION JACK BUNTING,ARIMA,2012-03-01,710.4999472111529
ROTATING SILVER ANGELS T-LIGHT HLDR,Naive,2012-01-01,1760.03
ROTATING SILVER ANGELS T-LIGHT HLDR,Naive,2012-02-01,1760.03
ROTATING SILVER ANGELS T-LIGHT HLDR,Naive,2012-03-01,1760.03
ROTATING SILVER ANGELS T-LIGHT HLDR,ExponentialSmoothing,2012-01-01,3027.3835661641983
ROTATING SILVER ANGELS T-LIGHT HLDR,ExponentialSmoothing,2012-02-01,3316.781856236953
ROTATING SILVER ANGELS T-LIGHT HLDR,ExponentialSmoothing,2012-03-01,3606.180146309707
ROTATING SILVER ANGELS T-LIGHT HLDR,ARIMA,2012-01-01,1566.3850307966513
ROTATING SILVER ANGELS T-LIGHT HLDR,ARIMA,2012-02-01,1467.1342909275504
ROTATING SILVER ANGELS T-LIGHT HLDR,ARIMA,2012-03-01,1416.2643436984042
EDWARDIAN PARASOL NATURAL,Naive,2012-01-01,464.0
EDWARDIAN PARASOL NATURAL,Naive,2012-02-01,464.0
EDWARDIAN PARASOL NATURAL,Naive,2012-03-01,464.0
EDWARDIAN PARASOL NATURAL,ExponentialSmoothing,2012-01-01,766.8311018271838
EDWARDIAN PARASOL NATURAL,ExponentialSmoothing,2012-02-01,696.9510915888019
EDWARDIAN PARASOL NATURAL,ExponentialSmoothing,2012-03-01,627.07108135042
EDWARDIAN PARASOL NATURAL,ARIMA,2012-01-01,1190.6707986639597
EDWARDIAN PARASOL NATURAL,ARIMA,2012-02-01,1406.318108679249
EDWARDIAN PARASOL NATURAL,ARIMA,2012-03-01,1470.313747973316
RABBIT NIGHT LIGHT,Naive,2012-01-01,6875.2
RABBIT NIGHT LIGHT,Naive,2012-02-01,6875.2
RABBIT NIGHT LIGHT,Naive,2012-03-01,6875.2
RABBIT NIGHT LIGHT,ExponentialSmoothing,2012-01-01,9787.643549427909
RABBIT NIGHT LIGHT,ExponentialSmoothing,2012-02-01,10633.145403311672
RABBIT NIGHT LIGHT,ExponentialSmoothing,2012-03-01,11478.647257195433
RABBIT NIGHT LIGHT,ARIMA,2012-01-01,3879.3528267528636
RABBIT NIGHT LIGHT,ARIMA,2012-02-01,1934.341691328483
RABBIT NIGHT LIGHT,ARIMA,2012-03-01,671.570896240011
JUMBO  BAG BAROQUE BLACK WHITE,Naive,2012-01-01,441.84000000000003
JUMBO  BAG BAROQUE BLACK WHITE,Naive,2012-02-01,441.84000000000003
JUMBO  BAG BAROQUE BLACK WHITE,Naive,2012-03-01,441.84000000000003
JUMBO  BAG BAROQUE BLACK WHITE,ExponentialSmoothing,2012-01-01,1732.0824560061674
JUMBO  BAG BAROQUE BLACK WHITE,ExponentialSmoothing,2012-02-01,1698.2355661691868
JUMBO  BAG BAROQUE BLACK WHITE,ExponentialSmoothing,2012-03-01,1664.3886763322062
JUMBO  BAG BAROQUE BLACK WHITE,ARIMA,2012-01-01,1970.9492424969712
JUMBO  BAG BAROQUE BLACK WHITE,ARIMA,2012-02-01,2050.312459627453
JUMBO  BAG BAROQUE BLACK WHITE,ARIMA,2012-03-01,2054.431537622832
HEART OF WICKER LARGE,Naive,2012-01-01,294.78000000000003
HEART OF WICKER LARGE,Naive,2012-02-01,294.78000000000003
HEART OF WICKER LARGE,Naive,2012-03-01,294.78000000000003
HEART OF WICKER LARGE,ExponentialSmoothing,2012-01-01,2024.089153024305
HEART OF WICKER LARGE,ExponentialSmoothing,2012-02-01,2006.726902669634
HEART OF WICKER LARGE,ExponentialSmoothing,2012-03-01,1989.364652314963
HEART OF WICKER LARGE,ARIMA,2012-01-01,3428.9717003626383
HEART OF WICKER LARGE,ARIMA,2012-02-01,24.14974327112077
HEART OF WICKER LARGE,ARIMA,2012-03-01,3722.970258350392
